posicao_atual,posicao_atual,departamento
ANALISTA DE ATENDIMENTO,1,CUSTOMER SUCCESS
ANALISTA DE CONTROLADORIA,1,STRATEGY
ANALISTA DE DP,2,PEOPLE
ANALISTA DE MARKETING,1,SALES
ANALISTA DE TECNOLOGIA DA INFORMACAO,1,TROJAN TECHNOLOGIES IN-STORE
ANALISTA FINANCEIRO,2,STRATEGY
ANALISTA FINANCEIRO | ESTAGIARIA DE FINANCAS,1,STRATEGY
ANDROID DEVELOPER,1,TROJAN TECHNOLOGIES IN-STORE
APREDIZ ADMINISTRATIVO,1,STRATEGY
ARQUITETO DE SOLUCOES | ENGENHEIRO DE SOFTWARE,1,TROJAN TECHNOLOGIES IN-STORE
BUSINESS DEVELOPER + PRODUCT MANAGER,1,TROJAN TECHNOLOGIES IN-STORE
BUSINESS DEVELOPMENT MANAGER,1,STRATEGY
BUSINESS INTELLIGENCE AND DATA ANALYST,1,DATA ANALYTICS
CEO AND FOUNDER,1,STRATEGY
COMMERCIAL,1,COMMERCIAL
COMMERCIAL ANALYST,1,COMMERCIAL
COO,1,SALES
COORDENADOR COMERCIAL,1,COMMERCIAL
COORDENADOR DE MARKETING,1,SALES
COORDENADORA DE BRANDING,1,STRATEGY
COORDENADORA DE CS,1,CUSTOMER SUCCESS
COSTOMER SUCCESS,1,CUSTOMER SUCCESS
CREATIVE DESIGNER,1,PRODUCT DESIGN - UXP
CRM ANALYST,1,CUSTOMER SUCCESS
CUSTOMER SUCCESS,3,CUSTOMER SUCCESS
CUSTOMER SUCCESS - INTERN,1,CUSTOMER SUCCESS
CUSTOMER SUCESS ANALYST,1,CUSTOMER SUCCESS
DATA ENGINEER BI AND DATA ANALYST,1,DATA ANALYTICS
DESENVOLVEDOR JR,1,TROJAN TECHNOLOGIES IN-STORE
DESENVOLVEDOR JUNIOR,2,TROJAN TECHNOLOGIES IN-STORE
DESENVOLVEDOR PLENO I,1,TROJAN TECHNOLOGIES IN-STORE
DESENVOLVEDORA DE SOFTWARE,1,TROJAN TECHNOLOGIES IN-STORE
DIRECTOR OF MARKETING,1,SALES
DIRETORA DE ARTE,1,PRODUCT DESIGN - UXP
ENGENHEIRO DE SOFTWARE,1,TROJAN TECHNOLOGIES IN-STORE
ENGENHEIRO DE SOFTWARE SENIOR,1,TROJAN TECHNOLOGIES IN-STORE
ESPECIALISTA EM MARKETING DE PERFORMANCE,1,SALES
ESTAGIARIA DE CRM,1,CUSTOMER SUCCESS
ESTAGIARIA DE CUSTOMER SUCCESS,1,CUSTOMER SUCCESS
ESTAGIARIA DE MARKETING,1,SALES
ESTAGIARIA DO FINANCEIRO,1,STRATEGY
ESTAGIO EM MARKETING CRM,1,SALES
EXECUTIVA DE CONTAS,1,CUSTOMER SUCCESS
EXECUTIVO COMERCIAL SENIOR,1,COMMERCIAL
EXECUTIVO DE VENDAS,2,SALES
FINANCE DIRECTOR,1,STRATEGY
