posicao_atual,posicao_atual
ANALISTA DE ATENDIMENTO,1
ANALISTA DE CONTROLADORIA,1
ANALISTA DE DP,2
ANALISTA DE MARKETING,1
ANALISTA DE TECNOLOGIA DA INFORMACAO,1
ANALISTA FINANCEIRO,2
ANALISTA FINANCEIRO | ESTAGIARIA DE FINANCAS,1
ANDROID DEVELOPER,1
APREDIZ ADMINISTRATIVO,1
ARQUITETO DE SOLUCOES | ENGENHEIRO DE SOFTWARE,1
BUSINESS DEVELOPER + PRODUCT MANAGER,1
BUSINESS DEVELOPMENT MANAGER,1
BUSINESS INTELLIGENCE AND DATA ANALYST,1
CEO AND FOUNDER,1
COMMERCIAL,1
COMMERCIAL ANALYST,1
COO,1
COORDENADOR COMERCIAL,1
COORDENADOR DE MARKETING,1
COORDENADORA DE BRANDING,1
COORDENADORA DE CS,1
COSTOMER SUCCESS,1
CREATIVE DESIGNER,1
CRM ANALYST,1
CUSTOMER SUCCESS,3
CUSTOMER SUCCESS - INTERN,1
CUSTOMER SUCESS ANALYST,1
DATA ENGINEER BI AND DATA ANALYST,1
DESENVOLVEDOR JR,1
DESENVOLVEDOR JUNIOR,2
DESENVOLVEDOR PLENO I,1
DESENVOLVEDORA DE SOFTWARE,1
DIRECTOR OF MARKETING,1
DIRETORA DE ARTE,1
ENGENHEIRO DE SOFTWARE,1
ENGENHEIRO DE SOFTWARE SENIOR,1
ESPECIALISTA EM MARKETING DE PERFORMANCE,1
ESTAGIARIA DE CRM,1
ESTAGIARIA DE CUSTOMER SUCCESS,1
ESTAGIARIA DE MARKETING,1
ESTAGIARIA DO FINANCEIRO,1
ESTAGIO EM MARKETING CRM,1
EXECUTIVA DE CONTAS,1
EXECUTIVO COMERCIAL SENIOR,1
EXECUTIVO DE VENDAS,2
FINANCE DIRECTOR,1
FOUNDER AND CFO,1
FULL STACK DEVELOPER,1
FULL STACK ENGINEER,1
GERENTE COMERCIAL E OPERACOES REGIONAL CENTRO-OESTE,1
GERENTE COMERCIAL SAO PAULO,1
GERENTE DE OPERACOES,1
GERENTE REGIONAL RIO DE JANEIRO,1
GERENTE REGIONAL SUL,1
GESTORA DO TIME DE PESSOAS - RESPONSAVEL POR R&S E T&D,1
HEAD OF COMMERCIAL,1
HEAD OF CUSTOMER SUCCESS,1
HEAD OF DATA ANALYTICS,1
HEAD OF IN-STORE OPERATION,1
HEAD OF PEOPLE,1
HEAD OF PRODUCT DESIGN - UXP,1
HEAD OF SALES,1
HEAD OF STRATEGY,1
HEAD OF TROJAN TECHNOLOGIES IN-STORE,1
INSIDE SALES,1
IOS DEVELOPER,1
KEY ACCOUNT,1
KEY ACCOUNT MANAGER,2
KEY ACCOUNT MANAGER | BUSINESS SALES EXECUTIVE,1
"LEAD PRODUCT DESIGNER, PARTNER",1
LEAD SOFTWARE DEVELOPER,2
ONBOARDING COORDINATOR,1
OPERACOES ERP | TIME DE EXPANSAO,1
PEOPLE CONSULTANT | KEY ACCOUNT MANAGER,1
PEOPLE CONSULTANT | PROGRAMADOR FRONT END,1
PRODUCT GROWTH MANAGER,1
PRODUCT MANAGER,3
PUBLIC RELATIONS INTERN | CUSTOMER SUCCESS INTERN,1
PURCHASING ANALYST,1
SALES EXECUTIVE,1
SALES OPERATIONS ANALYST,1
SALES OPERATIONS COORDINATOR,1
SALES OPERATIONS MANAGER,1
SENIOR UX DESIGNER,1
SOFTWARE ARCHITECT,2
SOFTWARE DEVELOPER,5
SOFTWARE ENGINEER AND DATA SCIENTIST | DATA ENGINEER,1
SOFTWARE TEST DEVELOPER II,1
TALENT ACQUISITION,1
TECH LEADER,1
TIME DE EXPANSAO,1
TIME DE EXPANSAO LOCAL,1
TRADE MARKETING,2
TRADE MARKETING ANALYST,1
