perfil_id,nome,nivel
0,"Idioma
Espanhol",Avançado
0,"Idioma
Inglês",Avançado
0,"Idioma
Português",Avançado
1,"Idioma
Inglês",Não informado
1,"Idioma
Italiano",Não informado
2,"Idioma
Inglês",Avançado
2,"Idioma
Português",Avançado
3,"Idioma
Espanhol",Intermediário
3,"Idioma
Inglês",Avançado
3,"Idioma
Português",Avançado
4,"Idioma
Inglês",Avançado
4,"Idioma
Português",Avançado
4,"Idioma
Espanhol",Básico
5,"Idioma
Inglês",Não informado
8,"Idioma
Espanhol",Intermediário
8,"Idioma
Inglês",Avançado
8,"Idioma
Português",Avançado
9,"Idioma
Espanhol",Avançado
9,"Idioma
Inglês",Avançado
9,"Idioma
Português",Avançado
10,"Idioma
Inglês",Avançado
10,"Idioma
Português",Avançado
11,"Idioma
Inglês",Não informado
11,"Idioma
Português",Não informado
12,"Idioma
Espanhol",Básico
12,"Idioma
Inglês",Avançado
12,"Idioma
Português",Avançado
13,"Idioma
Espanhol",Intermediário
13,"Idioma
Inglês",Intermediário
13,"Idioma
Português",Avançado
14,"Idioma
Inglês",Avançado
14,"Idioma
Espanhol",Intermediário
15,"Idioma
Espanhol",Intermediário
15,"Idioma
Inglês",Avançado
15,"Idioma
Português",Avançado
16,"Idioma
Espanhol",Intermediário
16,"Idioma
Francês",Intermediário
16,"Idioma
Inglês",Avançado
16,"Idioma
Português",Avançado
17,"Idioma
Inglês",Avançado
17,"Idioma
French",Básico
17,"Idioma
Português",Avançado
18,"Idioma
Espanhol",Intermediário
18,"Idioma
Francês",Intermediário
18,"Idioma
Inglês",Avançado
18,"Idioma
Português",Avançado
19,"Idioma
Inglês",Básico
19,"Idioma
Português",Avançado
20,"Idioma
Espanhol",Básico
20,"Idioma
Inglês",Avançado
21,"Idioma
Inglês",Não informado
21,"Idioma
Português",Avançado
23,"Idioma
Espanhol",Avançado
23,"Idioma
Inglês",Avançado
23,"Idioma
Português",Avançado
23,"Idioma
Árabe",Básico
24,"Idioma
Inglês",Avançado
24,"Idioma
Italiano",Intermediário
24,"Idioma
Português",Avançado
25,"Idioma
Inglês",Intermediário
25,"Idioma
Espanhol",Intermediário
25,"Idioma
Português",Avançado
27,"Idioma
Espanhol",Intermediário
27,"Idioma
Francês",Intermediário
27,"Idioma
Inglês",Avançado
27,"Idioma
Português",Avançado
28,"Idioma
Espanhol",Avançado
28,"Idioma
Francês",Intermediário
28,"Idioma
Inglês",Avançado
28,"Idioma
Português",Avançado
29,"Idioma
Inglês",Não informado
31,"Idioma
Espanhol",Básico
31,"Idioma
Inglês",Avançado
31,"Idioma
Português",Avançado
33,"Idioma
Inglês",Avançado
33,"Idioma
Português",Avançado
34,"Idioma
Inglês",Avançado
35,"Idioma
Inglês",Avançado
35,"Idioma
Português",Avançado
36,"Idioma
Espanhol",Intermediário
36,"Idioma
Francês",Intermediário
36,"Idioma
Holandês",Básico
36,"Idioma
Inglês",Avançado
36,"Idioma
Português",Avançado
37,"Idioma
Inglês",Avançado
37,"Idioma
Português",Avançado
38,"Idioma
Inglês",Avançado
38,"Idioma
Português",Avançado
40,"Idioma
Inglês",Avançado
41,"Idioma
Espanhol",Intermediário
41,"Idioma
Francês",Intermediário
41,"Idioma
Português",Avançado
42,"Idioma
Inglês",Avançado
42,"Idioma
Português",Avançado
42,"Idioma
Espanhol",Básico
43,"Idioma
Inglês",Intermediário
43,"Idioma
Português",Avançado
44,"Idioma
Inglês",Avançado
44,"Idioma
Português",Avançado
44,"Idioma
Espanhol",Básico
45,"Idioma
Inglês",Intermediário
45,"Idioma
Português",Avançado
46,"Idioma
Inglês",Avançado
47,"Idioma
Espanhol",Intermediário
47,"Idioma
Inglês",Avançado
47,"Idioma
Português",Avançado
48,"Idioma
Espanhol",Básico
48,"Idioma
Francês",Básico
48,"Idioma
Inglês",Avançado
48,"Idioma
Português",Avançado
50,"Idioma
Espanhol",Básico
50,"Idioma
Inglês",Avançado
50,"Idioma
Português",Avançado
51,"Idioma
Espanhol",Não informado
51,"Idioma
Inglês",Não informado
51,"Idioma
Português",Não informado
52,"Idioma
Inglês",Avançado
52,"Idioma
Espanhol",Intermediário
52,"Idioma
Português",Avançado
53,"Idioma
Francês",Intermediário
53,"Idioma
Inglês",Avançado
53,"Idioma
Português",Avançado
54,"Idioma
Inglês",Não informado
55,"Idioma
Alemão",Intermediário
55,"Idioma
Inglês",Avançado
56,"Idioma
Inglês",Intermediário
56,"Idioma
Português",Avançado
57,"Idioma
Inglês",Avançado
59,"Idioma
Espanhol",Básico
59,"Idioma
Inglês",Avançado
59,"Idioma
Português",Avançado
60,"Idioma
Inglês",Intermediário
60,"Idioma
Português",Avançado
60,"Idioma
Espanhol",Intermediário
61,"Idioma
Inglês",Avançado
61,"Idioma
Português",Avançado
61,"Idioma
Espanhol",Intermediário
62,"Idioma
Inglês",Intermediário
63,"Idioma
Inglês",Intermediário
63,"Idioma
Português",Avançado
64,"Idioma
Espanhol",Básico
64,"Idioma
Inglês",Intermediário
64,"Idioma
Português",Avançado
65,"Idioma
Inglês",Avançado
66,"Idioma
Inglês",Avançado
66,"Idioma
Português",Avançado
67,"Idioma
Espanhol",Intermediário
67,"Idioma
Inglês",Intermediário
67,"Idioma
Português",Avançado
68,"Idioma
Espanhol",Avançado
68,"Idioma
Inglês",Avançado
68,"Idioma
Português",Avançado
70,"Idioma
Inglês",Intermediário
70,"Idioma
Português",Avançado
71,"Idioma
Inglês",Avançado
71,"Idioma
Português",Avançado
72,"Idioma
Inglês",Avançado
72,"Idioma
Português",Avançado
73,"Idioma
Espanhol",Intermediário
73,"Idioma
Inglês",Intermediário
73,"Idioma
Português",Avançado
74,"Idioma
Inglês",Avançado
74,"Idioma
Português",Avançado
75,"Idioma
Inglês",Não informado
76,"Idioma
Inglês",Básico
76,"Idioma
Português",Avançado
78,"Idioma
Inglês",Não informado
79,"Idioma
Inglês",Intermediário
80,"Idioma
Inglês",Intermediário
81,"Idioma
Inglês",Avançado
81,"Idioma
Português",Avançado
81,"Idioma
Espanhol",Intermediário
82,"Idioma
Português",Não informado
83,"Idioma
Português",Não informado
84,"Idioma
Inglês",Intermediário
84,"Idioma
Português",Avançado
85,"Idioma
Inglês",Avançado
85,"Idioma
Português",Avançado
86,"Idioma
Inglês",Avançado
86,"Idioma
Português",Avançado
87,"Idioma
Alemão",Intermediário
87,"Idioma
Inglês",Avançado
87,"Idioma
Japonês",Intermediário
87,"Idioma
LIBRAS",Intermediário
87,"Idioma
Português",Avançado
88,"Idioma
Inglês",Intermediário
89,"Idioma
Inglês",Não informado
91,"Idioma
Inglês",Intermediário
91,"Idioma
Português",Avançado
93,"Idioma
Inglês",Não informado
94,"Idioma
Inglês",Não informado
95,"Idioma
Espanhol",Avançado
95,"Idioma
Francês",Intermediário
95,"Idioma
Inglês",Avançado
95,"Idioma
Português",Avançado
96,"Idioma
Inglês",Não informado
96,"Idioma
Italiano",Não informado
96,"Idioma
Português",Não informado
96,"Idioma
Espanhol",Não informado
97,"Idioma
Espanhol",Avançado
98,"Idioma
Inglês",Avançado
98,"Idioma
Francês",Avançado
98,"Idioma
Português",Avançado
100,"Idioma
Inglês",Intermediário
100,"Idioma
Espanhol",Intermediário
100,"Idioma
Português",Avançado
102,"Idioma
Inglês",Intermediário
102,"Idioma
Português",Avançado
105,"Idioma
Inglês",Intermediário
105,"Idioma
Português",Avançado
109,"Idioma
Espanhol",Não informado
