nome,qtd,categoria
.NET,1,Plataformas de Desenvolvimento
.NET FRAMEWORK,1,Plataformas de Desenvolvimento
5S,1,Habilidades Pessoais
A/B TESTING,1,Desenvolvimento de Front-end
ACCESSIBILITY,2,Outros
ACOMPANHAMENTO DE BUGS,1,Qualidade de Software
ACTIONSCRIPT,1,Linguagem de Programação
ADMINISTRACAO,2,Gestão de Empresas
ADOBE AFTER EFFECTS,1,Ferramentas de Design
ADOBE CREATIVE SUITE,1,Ferramentas de Design
ADOBE FIREWORKS,1,Ferramentas de Design
ADOBE ILLUSTRATOR,5,Ferramentas de Design
ADOBE PHOTOSHOP,6,Ferramentas de Design
ADVERTISING,5,Marketing e Vendas
AFFILIATE MARKETING,3,Marketing e Vendas
AFFILIATE NETWORKS,2,Marketing e Vendas
AFFILIATION,2,Marketing e Vendas
AFILIACAO,1,Marketing e Vendas
AGILE METHODOLOGIES,6,Gestão de Projetos
AGILE PROJECT MANAGEMENT,1,Gestão de Projetos
AJAX,4,Linguagem de Programação
AJUDA NO SUCESSO DO CLIENTE,1,Atendimento
ALGORITHMS,4,Linguagem de Programação
ALGORITMO,1,Linguagem de Programação
AMADEUS,1,Sistemas de Gestão
AMAZON EC2,2,Infraestrutura de TI
AMAZON S3,1,Infraestrutura de TI
AMAZON WEB SERVICES,1,Infraestrutura de TI
AMAZON WEB SERVICES (AWS),2,Infraestrutura de TI
AMP,1,Plataformas de Desenvolvimento
ANALISE DA COMPETITIVIDADE,1,Gestão de Empresas
ANALISE DE DADOS,1,Ciência de Dados
ANALISE DE REDE,3,Infraestrutura de TI
ANALISE DE REQUISITOS,1,Gestão de Projetos
ANALISE DE RISCOS,1,Gestão de Projetos
ANALISE DE SISTEMAS,2,Desenvolvimento de Sistemas
ANALISE FINANCEIRA,3,Gestão Financeira
ANALISES,1,Ciência de Dados
ANALISES DE MERCADO,1,Gestão de Empresas
ANDROID,3,Mobile
ANDROID DEVELOPMENT,2,Mobile
ANGEL INVESTING,1,Gestão Financeira
ANGULAR,2,Plataformas de Desenvolvimento
ANGULARJS,3,Plataformas de Desenvolvimento
APACHE,2,Plataformas de Desenvolvimento
APACHE CORDOVA,2,Plataformas de Desenvolvimento
APPLICATION DEVELOPMENT,1,Desenvolvimento de Sistemas
ARQUITETURA DE INFORMACAO,2,Engenharia de Dados
ARQUITETURA DE SOFTWARE,1,Desenvolvimento de Sistemas
ART DIRECTION,1,Artes e Design
ASP.NET,1,Linguagem de Programação
ASSET MANAGEMENT,1,Gestão de Empresas
ATENDIMENTO AO CLIENTE,13,Atendimento
AUDITORIA,1,Gestão de Empresas
AUTOCAD,1,Ferramentas de Engenharia
AUTOMACAO DE TESTES,1,Qualidade de Software
AUTOMATED SOFTWARE TESTING,1,Qualidade de Software
AVALIACAO FINANCEIRA,1,Gestão Financeira
AWS,1,Infraestrutura de TI
AXURE,3,Plataformas de Desenvolvimento
B2B,2,Marketing e Vendas
BANCO DE DADOS,2,Banco de Dados
BARMAN (BACKUP AND RECOVERY MANAGER) - POSTGRESQL,1,Banco de Dados
BASH,2,Sistemas Operacionais
BDD,1,Desenvolvimento de Sistemas
BIG DATA ANALYTICS,1,Ciência de Dados
