nome,nome
.NET,1
.NET FRAMEWORK,1
5S,1
A/B TESTING,1
ACCESSIBILITY,2
ACOMPANHAMENTO DE BUGS,1
ACTIONSCRIPT,1
ADMINISTRACAO,2
ADOBE AFTER EFFECTS,1
ADOBE CREATIVE SUITE,1
ADOBE FIREWORKS,1
ADOBE ILLUSTRATOR,5
ADOBE PHOTOSHOP,6
ADVERTISING,5
AFFILIATE MARKETING,3
AFFILIATE NETWORKS,2
AFFILIATION,2
AFILIACAO,1
AGILE METHODOLOGIES,6
AGILE PROJECT MANAGEMENT,1
AJAX,4
AJUDA NO SUCESSO DO CLIENTE,1
ALGORITHMS,4
ALGORITMO,1
AMADEUS,1
AMAZON EC2,2
AMAZON S3,1
AMAZON WEB SERVICES,1
AMAZON WEB SERVICES (AWS),2
AMP,1
ANALISE DA COMPETITIVIDADE,1
ANALISE DE DADOS,1
ANALISE DE REDE,3
ANALISE DE REQUISITOS,1
ANALISE DE RISCOS,1
ANALISE DE SISTEMAS,2
ANALISE FINANCEIRA,3
ANALISES,1
ANALISES DE MERCADO,1
ANDROID,3
ANDROID DEVELOPMENT,2
ANGEL INVESTING,1
ANGULAR,2
ANGULARJS,3
APACHE,2
APACHE CORDOVA,2
APPLICATION DEVELOPMENT,1
ARQUITETURA DE INFORMACAO,2
ARQUITETURA DE SOFTWARE,1
ART DIRECTION,1
ASP.NET,1
ASSET MANAGEMENT,1
ATENDIMENTO AO CLIENTE,13
AUDITORIA,1
AUTOCAD,1
AUTOMACAO DE TESTES,1
AUTOMATED SOFTWARE TESTING,1
AVALIACAO FINANCEIRA,1
AWS,1
AXURE,3
B2B,2
BANCO DE DADOS,2
BARMAN (BACKUP AND RECOVERY MANAGER) - POSTGRESQL,1
BASH,2
BDD,1
BIG DATA ANALYTICS,1
BMC REMEDY,1
BOM RELACIONAMENTO PARA TRABALHAR EM EQUIPE.,1
BOOTSTRAP,1
BRAND DEVELOPMENT,2
BRAZILIAN LAWS,1
BRAZILIAN PORTUGUESE,1
BUG TRACKING,1
BUSINESS,1
BUSINESS ANALYSIS,3
BUSINESS COACHING,1
BUSINESS DEVELOPMENT,6
BUSINESS INNOVATION,1
BUSINESS INTELLIGENCE,8
BUSINESS INTELLIGENCE TOOLS,1
BUSINESS MANAGEMENT,1
BUSINESS MODEL CANVAS,1
BUSINESS PLANNING,14
BUSINESS PROCESS IMPROVEMENT,1
BUSINESS STRATEGY,16
BUSINESS VALUATION,1
C,10
C (LINGUAGEM DE PROGRAMACAO),4
C#,5
C++,13
C/C++,1
CALL CENTERS,1
CAPACIDADE ANALITICA,1
CAPITAL DE RISCO,1
CAPITAL MARKETS,1
CARTOES DE CREDITO,1
CBL,1
CENTRAIS DE ATENDIMENTO,1
CENTRO DE PROCESSAMENTO DE DADOS,1
CEP (CONTROLE ESTATISTICO DE PROCESSOS),1
CEPH,1
CHEMICAL ENGINEERING,1
CHROME DEVELOPER TOOLS,1
CHROME EXTENSIONS,2
CIENCIA DA COMPUTACAO,1
CLOUD COMPUTING,2
CLP (CONTROLADOR LOGICO PROGRAMAVEL),1
COACHING,1
COBERTURA FOR J2ME,1
COBIT,3
CODED UI,1
CODIGO ABERTO,1
COMERCIO ELETRONICO,15
COMMERCE,1
COMMUNICACAO ESTRATEGICA,1
COMPATIBILIDADE CROSS-BROWSER,1
COMPETITIVE ANALYSIS,2
COMPILERS,1
COMPLEX NETWORKS,1
COMPOSITING,1
COMPUTACAO EM NUVEM,1
COMPUTER SCIENCE,3
COMUNICACAO DIGITAL,1
COMUNICACAO EMPRESARIAL,2
COMUNICACAO INTERNA,1
COMUNICACAO INTERPESSOAL,2
COMUNICACOES DE MARKETING,8
CONSULTING,1
CONSULTORIA,2
CONSULTORIA DE GESTAO,3
CONTABILIDADE,1
CONTEXT SENSITIVE SOLUTIONS,1
CONTEXTUAL INQUIRY,1
CONTINUOUS INTEGRATION,1
CONVERSION OPTIMIZATION,1
COORDENACAO DE PROJETOS,1
COPYWRITING,1
CORPORATE BRANDING,1
CORPORATE FINANCE,1
CORPORATE MANAGEMENT,1
CREATIVE DIRECTION,1
CREDIT CARDS,1
CRITICAL THINKING,1
CRM,2
CRM SOLVE360,1
CROSS-FUNCTIONAL TEAM LEADERSHIP,1
CSS,18
CSS3,3
CUCUMBER,1
CUSTOMER DEVELOPMENT,2
CUSTOMER FOCUSED DESIGN,1
CUSTOMER SATISFACTION,1
CUSTOMER SERVICE,6
CUSTOMER SUCCESS,1
CUSTOMER SUPPORT,1
CVS,2
DAS,1
DASHBOARD,1
DATA ANALYSIS,6
DATA ANALYTICS,1
DATA CENTER,1
DATA EXTRACTION,1
DATA MINING,2
DATA WAREHOUSING,1
DATABASE ADMINISTRATION,1
DATABASES,2
DEBIAN,1
DELPHI,3
DESENHO MECANICO,1
DESENVOLVIMENTO ANDROID,2
DESENVOLVIMENTO DE NOVOS NEGOCIOS,5
DESENVOLVIMENTO DE PRODUTOS,2
DESENVOLVIMENTO DE SISTEMAS,1
DESENVOLVIMENTO DE SITES,1
DESENVOLVIMENTO DE SOFTWARE,7
DESENVOLVIMENTO EMPRESARIAL,2
DESENVOLVIMENTO ORIENTADO A TESTES,1
DESENVOLVIMENTO PARA IOS,1
DESENVOLVIMENTOS DE CLIENTES,1
DESIGN DA EXPERIENCIA DO USUARIO,1
DESIGN DE EXPERIENCIA,1
DESIGN DE INTERACAO,2
DESIGN DE INTERFACE DO USUARIO,1
DESIGN DE INTERIORES,1
DESIGN GRAFICO,3
DESIGN PATTERNS,1
DESIGN RESEARCH,1
DESIGN STRATEGY,1
DESIGN THINKING,3
DESIGN VOLTADO PARA O USUARIO,1
DEVELOPMENT MANAGEMENT,1
