perfil_id,qtd_linguas,fala_portugues,fala_ingles,fala_espanhol
0,3,False,False,False
1,2,False,False,False
2,2,False,False,False
3,3,False,False,False
4,3,False,False,False
5,1,False,False,False
8,3,False,False,False
9,3,False,False,False
10,2,False,False,False
11,2,False,False,False
12,3,False,False,False
13,3,False,False,False
14,2,False,False,False
15,3,False,False,False
16,4,False,False,False
17,3,False,False,False
18,4,False,False,False
19,2,False,False,False
20,2,False,False,False
21,2,False,False,False
23,4,False,False,False
24,3,False,False,False
25,3,False,False,False
27,4,False,False,False
28,4,False,False,False
29,1,False,False,False
31,3,False,False,False
33,2,False,False,False
34,1,False,False,False
35,2,False,False,False
36,5,False,False,False
37,2,False,False,False
38,2,False,False,False
40,1,False,False,False
41,3,False,False,False
42,3,False,False,False
43,2,False,False,False
44,3,False,False,False
45,2,False,False,False
46,1,False,False,False
47,3,False,False,False
48,4,False,False,False
50,3,False,False,False
51,3,False,False,False
52,3,False,False,False
53,3,False,False,False
54,1,False,False,False
55,2,False,False,False
56,2,False,False,False
57,1,False,False,False
59,3,False,False,False
60,3,False,False,False
61,3,False,False,False
62,1,False,False,False
63,2,False,False,False
64,3,False,False,False
65,1,False,False,False
66,2,False,False,False
67,3,False,False,False
68,3,False,False,False
70,2,False,False,False
71,2,False,False,False
72,2,False,False,False
73,3,False,False,False
74,2,False,False,False
75,1,False,False,False
76,2,False,False,False
78,1,False,False,False
79,1,False,False,False
80,1,False,False,False
81,3,False,False,False
82,1,False,False,False
83,1,False,False,False
84,2,False,False,False
85,2,False,False,False
86,2,False,False,False
87,5,False,False,False
88,1,False,False,False
89,1,False,False,False
91,2,False,False,False
93,1,False,False,False
94,1,False,False,False
95,4,False,False,False
96,4,False,False,False
97,1,False,False,False
98,3,False,False,False
100,3,False,False,False
102,2,False,False,False
105,2,False,False,False
109,1,False,False,False
