id,text,timestamp_ms,user_followers_count,user_friends_count,user_location,user_screen_name,tempo,data,user_retweeted
1107042314097229824,CEMIG ta vacilona hoje em assim não dá,1552774430189,507,423,"Minas Gerais, Brasil",MeloSahra,2019-03-16 22:13:50.189000-03:00,2019-03-16,
1107052443580420096,Ficar sem luz e foda essa loja da Cemig,1552776845246,152,344,"Governador Valadares, Brasil",R_Freitas21,2019-03-16 22:54:05.246000-03:00,2019-03-16,
1107053694523228160,Cemig zuando os pratence hihihi,1552777143494,382,295,ciúmentolandia,sou_geise,2019-03-16 22:59:03.494000-03:00,2019-03-16,
1107072220281688064,BETHEVITAS mxrcone CEMIG curtiu isso,1552781560379,1461,1466,"Minas Gerais, Brasil",jkbrunno,2019-03-17 00:12:40.379000-03:00,2019-03-17,
1107098836516962305,Recado dos Eletricitários em defesa da CEMIG  FNU ,1552787906184,63,1697,Rio de Janeiro - Brasil,magu5,2019-03-17 01:58:26.184000-03:00,2019-03-17,
1107108700936962054,Minha tia ligou pra cemig e falou Mal começou a chover e a nossa luz já tá igual pisca pisca de Natal ,1552790258045,73,268,,LLeijoto,2019-03-17 02:37:38.045000-03:00,2019-03-17,
1107115671501053952,Começou a chover daqui uns 30 minutos a Cemig corta a luz,1552791919957,73,209,"Alpercata, Brasil",HygorRibeiro16,2019-03-17 03:05:19.957000-03:00,2019-03-17,
1107122569692545024,CEMIG Serviços SA vamos ver se você entende esse GIF ,1552793564614,108,338,,JReis_MB,2019-03-17 03:32:44.614000-03:00,2019-03-17,
1107123548622123008,joaoamoedonovo até agora nada do novo ter anunciado a venda das 2 estatais CEMIG E COPASA que estão oprimindo o povo,1552793798009,105,549,Brasil,Desmio,2019-03-17 03:36:38.009000-03:00,2019-03-17,
1107124187641069568,RT yasmimfcandido Essa cemig tá me tirando hoje,1552793950363,312,412,Na minha casa 🤙,alvesanna17,2019-03-17 03:39:10.363000-03:00,2019-03-17,yasmimfcandido
1107125367767207936,CEMIG Serviços SA vocês conseguiriam me recomendar alguma empresa de fornecimento de energia elétrica A empresa ,1552794231727,108,338,,JReis_MB,2019-03-17 03:43:51.727000-03:00,2019-03-17,
1107128473502576640,CEMIG não pode ver um pingo de água q já corta a luz,1552794972192,151,363,perdido nesse mundão,maccedo29,2019-03-17 03:56:12.192000-03:00,2019-03-17,
1107133154068971521,BellaMoreira8 e a minha que tá o dia todo apaga a luz e deixa o tempo passar BABY VOCÊ NÃO PERDE POR ESPERAR APAG ,1552796088126,261,152,"Belo Horizonte, Minas Gerais",JujubaMS,2019-03-17 04:14:48.126000-03:00,2019-03-17,
1107138321044647938,ta faltando energia aqui Cemig bunita,1552797320029,2055,2099,Timothy City,parmarcoss,2019-03-17 04:35:20.029000-03:00,2019-03-17,
1107145095013433344,caiu a energia e vou dormir no valor valeu Cemig,1552798935069,327,272,"Ipatinga, Minas Gerais",henrybotelho,2019-03-17 05:02:15.069000-03:00,2019-03-17,
1107168427398053888,a luz voltou aí bateu uma fome da madruga sabe apagou dnv a bendita e acendeu dnvmsm assim fiquei com raiva e des ,1552804497943,3342,1630,mateus & miguel & helena,avadafantastica,2019-03-17 06:34:57.943000-03:00,2019-03-17,
1107168795204993024,RT avadafantastica a luz voltou aí bateu uma fome da madruga sabe apagou dnv a bendita e acendeu dnvmsm assim fiquei com raiva e desist,1552804585635,55,44,,ju_reserva,2019-03-17 06:36:25.635000-03:00,2019-03-17,avadafantastica
1107205825733496833,Sinceramente eu amo minha família Kkkkkkkkkkkkkk,1552813414401,183,199,"Belo Horizonte, Brasil",laismoura0289,2019-03-17 09:03:34.401000-03:00,2019-03-17,
1107239758638579712,Não tô crendo que eu vou ter que ligar pra Cemig pra resolver isso,1552821504636,138,216,"Belo Horizonte, Brasil",AltoeGiordano7k,2019-03-17 11:18:24.636000-03:00,2019-03-17,
