id;lake;gender;size;food
45;Hancock;Female;> 2.3;Fish
80;Trafford;Male;<= 2.3;Fish
64;Oklawaha;Female;> 2.3;Reptile
19;Trafford;Female;> 2.3;Reptile
120;Trafford;Female;<= 2.3;Invertebrate
200;Trafford;Female;> 2.3;Fish
43;Oklawaha;Female;> 2.3;Reptile
192;Trafford;Male;<= 2.3;Invertebrate
66;Trafford;Female;<= 2.3;Fish
148;Hancock;Male;<= 2.3;Fish
122;George;Female;> 2.3;Other
194;George;Male;<= 2.3;Invertebrate
171;Trafford;Female;<= 2.3;Invertebrate
174;Trafford;Female;> 2.3;Invertebrate
40;Hancock;Female;<= 2.3;Other
206;Hancock;Female;<= 2.3;Fish
133;Hancock;Female;<= 2.3;Fish
19;Oklawaha;Female;> 2.3;Fish
206;Hancock;Female;<= 2.3;Other
204;Trafford;Female;> 2.3;Invertebrate
76;Hancock;Male;> 2.3;Bird
108;Hancock;Female;<= 2.3;Fish
63;Oklawaha;Female;> 2.3;Fish
151;George;Female;> 2.3;Fish
204;Hancock;Female;> 2.3;Other
2;Trafford;Female;<= 2.3;Invertebrate
219;George;Male;> 2.3;Fish
83;Hancock;Female;<= 2.3;Other
192;Trafford;Female;<= 2.3;Invertebrate
143;Hancock;Male;> 2.3;Bird
49;Oklawaha;Female;> 2.3;Fish
58;Hancock;Female;> 2.3;Fish
144;Oklawaha;Female;> 2.3;Fish
126;George;Male;<= 2.3;Other
46;George;Female;<= 2.3;Fish
111;Hancock;Male;<= 2.3;Fish
110;Hancock;Male;<= 2.3;Other
165;Trafford;Male;<= 2.3;Other
68;George;Female;<= 2.3;Other
182;George;Male;> 2.3;Fish
126;George;Female;<= 2.3;Fish
168;Hancock;Male;<= 2.3;Reptile
69;Hancock;Female;> 2.3;Bird
139;Trafford;Male;<= 2.3;Invertebrate
155;George;Male;<= 2.3;Reptile
184;Hancock;Female;<= 2.3;Fish
105;Oklawaha;Male;<= 2.3;Invertebrate
110;Hancock;Male;<= 2.3;Bird
9;Hancock;Male;<= 2.3;Fish
129;Trafford;Female;> 2.3;Other
122;Oklawaha;Male;<= 2.3;Invertebrate
107;Oklawaha;Female;<= 2.3;Other
134;George;Male;> 2.3;Fish
41;Trafford;Male;<= 2.3;Invertebrate
157;George;Male;<= 2.3;Invertebrate
191;George;Female;> 2.3;Fish
53;George;Male;> 2.3;Other
38;Oklawaha;Female;> 2.3;Fish
79;Trafford;Female;<= 2.3;Other
117;George;Male;<= 2.3;Invertebrate
188;Trafford;Female;> 2.3;Reptile
124;Oklawaha;Female;> 2.3;Invertebrate
1;Oklawaha;Male;<= 2.3;Invertebrate
165;Oklawaha;Female;> 2.3;Reptile
171;George;Female;> 2.3;Fish
212;Trafford;Female;> 2.3;Invertebrate
182;George;Male;<= 2.3;Invertebrate
176;Hancock;Male;> 2.3;Other
13;George;Female;<= 2.3;Invertebrate
14;Oklawaha;Female;> 2.3;Invertebrate
188;Oklawaha;Male;> 2.3;Bird
161;George;Male;> 2.3;Fish
209;George;Female;<= 2.3;Invertebrate
115;Oklawaha;Male;<= 2.3;Invertebrate
165;Oklawaha;Female;<= 2.3;Invertebrate
153;Trafford;Male;<= 2.3;Other
148;George;Female;<= 2.3;Invertebrate
215;Hancock;Female;<= 2.3;Fish
92;Trafford;Female;> 2.3;Bird
139;George;Male;<= 2.3;Invertebrate
24;Hancock;Male;<= 2.3;Fish
202;Hancock;Female;<= 2.3;Fish
27;George;Male;<= 2.3;Fish
118;Oklawaha;Female;> 2.3;Fish
5;George;Female;<= 2.3;Invertebrate
161;Trafford;Female;<= 2.3;Reptile
7;George;Female;> 2.3;Fish
121;Oklawaha;Female;> 2.3;Invertebrate
45;George;Male;<= 2.3;Invertebrate
74;Hancock;Male;<= 2.3;Other
107;Hancock;Male;<= 2.3;Fish
73;George;Female;<= 2.3;Fish
132;Hancock;Male;<= 2.3;Fish
177;George;Male;<= 2.3;Invertebrate
74;Trafford;Female;> 2.3;Fish
41;George;Male;<= 2.3;Invertebrate
114;Hancock;Male;<= 2.3;Fish
32;Trafford;Male;<= 2.3;Invertebrate
104;George;Female;<= 2.3;Fish
76;George;Male;> 2.3;Invertebrate
43;George;Female;<= 2.3;Invertebrate
35;Oklawaha;Male;<= 2.3;Invertebrate
78;George;Female;<= 2.3;Invertebrate
200;Hancock;Male;<= 2.3;Fish
108;Trafford;Female;> 2.3;Fish
40;Trafford;Female;> 2.3;Other
122;Trafford;Female;<= 2.3;Fish
161;George;Female;<= 2.3;Bird
106;George;Male;> 2.3;Fish
99;Oklawaha;Male;<= 2.3;Invertebrate
199;Trafford;Female;> 2.3;Other
130;Oklawaha;Male;<= 2.3;Other
89;Oklawaha;Female;> 2.3;Invertebrate
11;George;Female;> 2.3;Bird
122;George;Male;<= 2.3;Fish
60;Oklawaha;Female;> 2.3;Reptile
139;George;Female;<= 2.3;Fish
45;George;Female;> 2.3;Fish
166;Trafford;Female;> 2.3;Reptile
188;Hancock;Male;> 2.3;Reptile
34;Hancock;Male;<= 2.3;Fish
114;Hancock;Female;> 2.3;Other
157;Trafford;Male;<= 2.3;Bird
4;Trafford;Female;> 2.3;Bird
7;Hancock;Male;<= 2.3;Fish
12;Hancock;Female;<= 2.3;Other
117;Trafford;Male;<= 2.3;Other
11;George;Male;> 2.3;Fish
192;Hancock;Male;<= 2.3;Invertebrate
62;Trafford;Male;<= 2.3;Reptile
119;Oklawaha;Male;<= 2.3;Invertebrate
101;Trafford;Female;> 2.3;Fish
163;Oklawaha;Male;> 2.3;Invertebrate
78;George;Female;<= 2.3;Fish
195;Trafford;Male;> 2.3;Invertebrate
191;Hancock;Male;<= 2.3;Invertebrate
90;Trafford;Female;> 2.3;Reptile
114;Hancock;Male;> 2.3;Fish
107;George;Female;> 2.3;Fish
178;Oklawaha;Female;<= 2.3;Fish
114;George;Female;<= 2.3;Other
129;George;Female;> 2.3;Other
57;Oklawaha;Male;<= 2.3;Fish
60;Hancock;Male;<= 2.3;Invertebrate
37;Hancock;Male;<= 2.3;Fish
144;Trafford;Female;<= 2.3;Fish
173;Oklawaha;Female;> 2.3;Invertebrate
52;Oklawaha;Female;> 2.3;Reptile
22;Hancock;Female;<= 2.3;Invertebrate
76;Oklawaha;Female;<= 2.3;Invertebrate
155;Hancock;Male;<= 2.3;Bird
